id,start,end,method,host,path,url,statusCode,contentType,requestBytes,responseBytes
062,2026-07-31T03:35:35.5441573+09:00,2026-07-31T03:35:36.015002+09:00,GET,sugangh.seowon.ac.kr,/report/js/clipreport5.js,https://sugangh.seowon.ac.kr/report/js/clipreport5.js,200,application/javascript,726,785008
063,2026-07-31T03:35:35.5441573+09:00,2026-07-31T03:35:35.7940501+09:00,GET,sugangh.seowon.ac.kr,/report/js/jquery-ui.min.js,https://sugangh.seowon.ac.kr/report/js/jquery-ui.min.js,200,application/javascript,728,240698
064,2026-07-31T03:35:35.5441573+09:00,2026-07-31T03:35:35.5670262+09:00,GET,sugangh.seowon.ac.kr,/report/js/UserConfig5.js,https://sugangh.seowon.ac.kr/report/js/UserConfig5.js,200,application/javascript,726,4096
065,2026-07-31T03:35:36.032138+09:00,2026-07-31T03:35:36.2662992+09:00,GET,sugangh.seowon.ac.kr,/report/font/NanumGothic-Regular.woff2,https://sugangh.seowon.ac.kr/report/font/NanumGothic-Regular.woff2,200,font/woff2,770,696330
066,2026-07-31T03:35:36.2919514+09:00,2026-07-31T03:35:36.3135552+09:00,POST,sugangh.seowon.ac.kr,/report/report_server.jsp,https://sugangh.seowon.ac.kr/report/report_server.jsp,200,text/html;charset=UTF-8,1002,337
067,2026-07-31T03:35:36.2919514+09:00,2026-07-31T03:35:36.3236199+09:00,GET,sugangh.seowon.ac.kr,/report/img/report/progress.gif,https://sugangh.seowon.ac.kr/report/img/report/progress.gif,200,image/gif,797,36188
068,2026-07-31T03:35:36.2919514+09:00,2026-07-31T03:35:36.3085423+09:00,GET,sugangh.seowon.ac.kr,/report/img/report/save.png,https://sugangh.seowon.ac.kr/report/img/report/save.png,200,image/png,793,2123
069,2026-07-31T03:35:36.2919514+09:00,2026-07-31T03:35:36.3085423+09:00,GET,sugangh.seowon.ac.kr,/report/img/report/print.png,https://sugangh.seowon.ac.kr/report/img/report/print.png,200,image/png,794,2159
070,2026-07-31T03:35:36.2929542+09:00,2026-07-31T03:35:36.3085423+09:00,GET,sugangh.seowon.ac.kr,/report/img/report/last.png,https://sugangh.seowon.ac.kr/report/img/report/last.png,200,image/png,793,1549
071,2026-07-31T03:35:36.2929542+09:00,2026-07-31T03:35:36.3135552+09:00,GET,sugangh.seowon.ac.kr,/report/img/report/next.png,https://sugangh.seowon.ac.kr/report/img/report/next.png,200,image/png,793,1489
072,2026-07-31T03:35:36.3095448+09:00,2026-07-31T03:35:36.3255862+09:00,GET,sugangh.seowon.ac.kr,/report/img/report/prev.png,https://sugangh.seowon.ac.kr/report/img/report/prev.png,200,image/png,793,1502
073,2026-07-31T03:35:36.3095448+09:00,2026-07-31T03:35:36.3255862+09:00,GET,sugangh.seowon.ac.kr,/report/img/report/first.png,https://sugangh.seowon.ac.kr/report/img/report/first.png,200,image/png,794,1545
074,2026-07-31T03:35:36.3155618+09:00,2026-07-31T03:35:36.353653+09:00,POST,sugangh.seowon.ac.kr,/report/report_server.jsp,https://sugangh.seowon.ac.kr/report/report_server.jsp,200,text/html;charset=UTF-8,1031,66369
075,2026-07-31T03:35:36.3155618+09:00,2026-07-31T03:35:36.3426238+09:00,POST,sugangh.seowon.ac.kr,/report/report_server.jsp,https://sugangh.seowon.ac.kr/report/report_server.jsp,200,text/html;charset=UTF-8,1018,324
076,2026-07-31T03:35:36.3446295+09:00,2026-07-31T03:35:36.4747237+09:00,POST,sugangh.seowon.ac.kr,/report/report_server.jsp,https://sugangh.seowon.ac.kr/report/report_server.jsp,200,text/html;charset=UTF-8,1031,66369
077,2026-07-31T03:35:36.3799642+09:00,2026-07-31T03:35:36.400116+09:00,GET,sugangh.seowon.ac.kr,/report/report_server.jsp,https://sugangh.seowon.ac.kr/report/report_server.jsp?uid=ccbc2938bfe194217a5b0df01779be09a&clipUID=ccbc2938bfe194217a5b0df01779be09a&ClipType=exportViewImage&ClipData=%7B%22image%22%3A%2204b1bd8882144ba28dd3fa4f29e724d6%22%2C%22reportkey%22%3A%22ccbc2938bfe194217a5b0df01779be09a%22%7D,200,image/png;charset=utf-8,1019,5100
078,2026-07-31T03:36:02.2165528+09:00,2026-07-31T03:36:02.2736933+09:00,GET,sugangh.seowon.ac.kr,/nx/_resource_/_theme_/edu/workframe/menu_o.png,https://sugangh.seowon.ac.kr/nx/_resource_/_theme_/edu/workframe/menu_o.png,200,image/png,745,1215
